Pre-Mold Training Data,,,,,,
Piece,Expired,Temperature (C),Gas (Ohms),Humidity (%),Pressure (hPa),Voltage
14,0,24.14,22448.26377,43.437,980.49,1.3000000000
14,0,24.14,23054.75504,42.729,980.49,1.4400000000
14,0,24.14,22662.88952,42.141,980.49,1.2900000001
14,0,24.13,23516.44314,41.941,980.49,1.3600000001
15,0,23.92,66701.40698,37.402,980.48,1.4400000000
15,0,23.92,16873.18745,38.639,980.47,3.3800000001
15,0,23.95,15533.98058,39.573,980.46,1.4800000001
15,0,23.97,13231.34174,41.883,980.48,1.4400000000
15,0,24,12802.56051,44.508,980.46,1.4500000001
15,0,24.04,12688.34259,46.459,980.5,1.4400000000
15,0,24.07,12643.22402,47.848,980.48,1.3400000000
15,0,24.09,12502.44188,48.839,980.5,1.4400000000
15,0,24.12,12546.5595,49.557,980.48,1.4400000000
15,0,24.14,12422.36025,50.022,980.48,1.4400000000
15,0,24.17,12718.60095,50.407,980.52,1.4500000001
15,0,24.19,13813.94345,50.606,980.51,1.4400000000
15,0,24.21,15410.54659,50.108,980.5,1.4400000000
15,0,24.23,19968.79875,49.263,980.49,1.4400000000
15,0,24.25,21872.86398,46.916,980.49,1.4400000000
16,0,24.37,51057.04029,48.806,980.49,1.3600000001
16,0,24.38,17269.29304,47.075,980.48,1.4400000000
16,0,24.4,22330.7746,44.755,980.48,1.4400000000
16,0,24.43,23516.44314,42.656,980.5,1.4400000000
16,0,24.45,25666.73351,41.339,980.5,1.3400000000
16,0,24.48,24100.92261,40.708,980.49,1.3400000000
16,0,24.5,25697.65107,40.634,980.48,1.2099999999
16,0,24.52,29117.37944,40.4,980.48,1.3200000000
16,0,24.53,29871.64527,39.991,980.48,1.3200000000
16,0,24.55,27538.72633,39.951,980.48,1.3100000001
16,0,24.56,25790.85231,40.247,980.47,1.3200000000
16,0,24.57,27735.64464,40.448,980.5,1.2099999999
16,0,24.58,30490.70986,40.06,980.49,1.3999999999
16,0,24.58,31738.16018,39.463,980.48,1.3800000001
16,0,24.59,30403.80048,39.194,980.48,1.4400000000
17,0,24.03,70855.24495,33.99,980.45,1.4400000000
17,0,24.04,14801.11008,36.591,980.43,1.4400000000
17,0,24.07,17892.08834,38.12,980.44,1.3999999999
17,0,24.1,23686.1584,38.181,980.42,1.2700000000
17,0,24.13,28841.82064,36.867,980.41,0.8799999999
17,0,24.15,29177.1142,35.577,980.44,1.4400000000
17,0,24.18,20506.248,35.324,980.42,1.3200000000
17,0,24.2,16597.51037,36.97,980.42,1.3400000000
17,0,24.23,16833.24566,38.705,980.4,1.2500000000
17,0,24.25,17625.99835,39.66,980.42,1.2300000000
17,0,24.27,18923.71378,40.231,980.41,1.2200000001
17,0,24.29,19282.91654,40.443,980.43,1.3900000000
17,0,24.31,19857.27583,40.773,980.4,1.6700000000
17,0,24.32,18890.20071,41.151,980.4,1.2799999999
17,0,24.34,17787.65981,41.869,980.41,1.2300000000
18,0,24.33,51364.36597,43.214,980.43,1.8300000001
18,0,24.34,16108.73395,43.709,980.42,1.3299999999
18,0,24.36,16169.78272,44.297,980.43,1.1300000000
18,0,24.38,18073.9904,44.631,980.43,1.2799999999
